"","...1","...2","Province","Date","GID_1","Species","Slaughter","...8","totalRainfall","averageRainfall","stddevRainfall","wetDays","SDII","rollsum","rollsumPred","CowPop","Dep","dist2Cities","NDP_.livelihood","rollsumSTD","rollsumPredSTD","DepSTD","NDPSTD","DcitSTD","Month"
"68",68,68,"Eastern Cape","Mar 2022","ZAF.1_1","Cattle",18974,80,26874.4086271748,2.79011717474821,5.54429051395062,25,1074.97634508699,170294.185802489,218876.091627182,3262332,78.1788864135742,120548.765625,0.142,0.639929298503607,1.12976150935975,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"69",69,69,"Eastern Cape","Mar 2023","ZAF.1_1","Cattle",20852,27,23086.799880676,2.39688536967151,4.52718152909674,27,855.066662247258,222663.700373681,159775.623647747,3262332,78.1788864135742,120548.765625,0.142,1.23381456935888,0.475434145573162,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"70",70,70,"Eastern Cape","May 2015","ZAF.1_1","Cattle",16105,139,3079.40543989278,0.319705714274583,1.03466816467833,24,128.308559995533,155507.492346332,156760.463048635,3262332,78.1788864135742,120548.765625,0.142,0.472243966299012,0.442051971900753,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"71",71,71,"Eastern Cape","May 2016","ZAF.1_1","Cattle",20857,99,6410.9691277463,0.665590648644757,2.13590646794026,21,305.284244178395,153428.899360781,141526.122540085,3262332,78.1788864135742,120548.765625,0.142,0.44867212744716,0.273385864765098,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"72",72,72,"Eastern Cape","May 2017","ZAF.1_1","Cattle",18397,83,6949.75044393539,0.721527247086316,2.6251149237508,27,257.3981645902,140987.341223896,178403.58966667,3262332,78.1788864135742,120548.765625,0.142,0.307581300379418,0.681672578441568,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"73",73,73,"Eastern Cape","May 2018","ZAF.1_1","Cattle",17364,151,7122.37574036978,0.739449308593208,1.99010443603589,19,374.861881072094,178230.964370236,164896.364368513,3262332,78.1788864135742,120548.765625,0.142,0.729934637067843,0.532128126027249,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"74",74,74,"Eastern Cape","May 2019","ZAF.1_1","Cattle",18218,59,7345.26439993735,0.762589742518413,2.70395416397589,17,432.074376466903,164673.475708945,147162.186375209,3262332,78.1788864135742,120548.765625,0.142,0.576188838741172,0.335785214845589,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"75",75,75,"Eastern Cape","May 2020","ZAF.1_1","Cattle",16662,43,2930.95554552584,0.304293557467384,1.11465875849995,22,133.225252069357,151576.49522962,138016.247350869,3262332,78.1788864135742,120548.765625,0.142,0.427665334885192,0.234526487533452,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"76",76,76,"Eastern Cape","May 2021","ZAF.1_1","Cattle",16551,111,6485.71066367999,0.673350359601328,2.48919828556229,22,294.805030167272,134461.492232715,195876.283071808,3262332,78.1788864135742,120548.765625,0.142,0.233576306683714,0.875120478346751,0.521030864986586,1.3585678406264,0.227075071110187,"May"
"77",77,77,"Eastern Cape","May 2022","ZAF.1_1","Cattle",16622,17,10227.8411763683,1.06186058724754,4.30036095818124,13,786.757013566792,192134.152559119,212226.349908534,3262332,78.1788864135742,120548.765625,0.142,0.887600766893852,1.0561392840647,0.521030864986586,1.3585678406264,0.227075071110187,"May"
